ผู้ใช้    : N3ITSPP04                                                                                                                                                                                                                                                     การไฟฟ้าส่วนภูมิภาค                                                                                                                                                                                                                                                   วันที่   : 16.06.2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไคลเอนท์  : PED-400                                                                                                                                                                                                                                             รายงานสถิติของหน่วยงานการไฟฟ้า - แบบที่ 1                                                                                                                                                                                                                                       เวลา     : 10:22:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
โปรแกรม   : ZBLR001F1                                                                                                                                                                                                                                        การไฟฟ้าเขตภาคเหนือ 3 ลพบุรี ประจำเดือน 05.2014                                                                                                                                                                                                                                    หน้าที่  : 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, รหัสกฟฟ.,กฟฟ.,10,11,20,30,40,50,60,70,80,90,91,           BOI-20,           BOI-30,           BOI-40,           BOI-90,           BOI-91,       รวมคิดเงิน,        ไฟสาธารณะ,        ไฟทางหลวง,          ไฟ สนง.,        ไฟลานกีฬา,       G1-กฟภ.รับ,     ไฟความมั่นคง,          BOI-PEA,        ไฟราชพิธี,    รวมไม่คิดเงิน,              รวม
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, C01101,กฟจ.ลพบุรี,"34,680.00","37,994.00","6,109.00",329,21,44,3,1,944,,,,,,,,"80,125.00","1,140.00",125,33,1,"1,482.00",,,,"2,781.00","82,906.00"
, C01201,กฟอ.ท่าวุ้ง,"11,472.00","5,292.00","1,292.00",34,2,3,,1,128,,,,,,,,"18,224.00",342,29,4,,52,,,,427,"18,651.00"
, C02101,กฟจ.นครสวรรค์,"32,078.00","40,569.00","8,597.00",479,22,66,1,13,"2,303.00",,,,,,,,"84,128.00",864,107,15,,309,,,,"1,295.00","85,423.00"
, C02102,กฟอ.โกรกพระ,"6,182.00","2,621.00",431,18,,1,1,13,105,,,,,,,,"9,372.00",151,10,1,,9,,,,171,"9,543.00"
, C02103,กฟอ.เก้าเลี้ยว,"6,833.00","2,843.00",543,19,4,,,9,83,,,,,,,,"10,334.00",98,11,1,,14,,,,124,"10,458.00"
, C02201,กฟอ.ท่าตะโก,"12,530.00","3,780.00",839,53,2,,,,128,,,,,,,,"17,332.00",155,29,4,,6,,,,194,"17,526.00"
, C02203,กฟอ.ไพศาลี,"13,573.00","2,432.00",870,28,,,,,147,,,,,,,,"17,050.00",108,15,1,,7,,,,131,"17,181.00"
, C02301,กฟอ.ชุมแสง,"15,242.00","4,987.00","1,143.00",48,,,,22,258,,,,,,,,"21,700.00",458,24,5,,25,,,,512,"22,212.00"
, C02401,กฟอ.หนองบัว,"12,534.00","3,375.00",864,57,2,2,,,240,,,,,,,,"17,074.00",294,23,8,,6,,,,331,"17,405.00"
, C02501,กฟอ.บรรพตพิสัย,"15,484.00","6,511.00","1,185.00",55,3,,10,15,189,,,,,,,,"23,452.00",260,31,5,,8,,,,304,"23,756.00"
, C02601,กฟอ.พยุหะคีรี,"12,369.00","6,836.00",892,68,2,2,,10,301,,,,,,,,"20,480.00",205,29,2,,45,,,,281,"20,761.00"
, C03101,กฟจ.อุทัยธานี,"10,680.00","7,861.00","1,362.00",87,5,7,2,15,614,,,,,,,,"20,633.00",219,46,6,,18,,,,289,"20,922.00"
, C03103,กฟอ.ทัพทัน,"8,377.00","2,436.00",622,8,1,,,10,196,,,,,,,,"11,650.00",91,28,1,,6,,,,126,"11,776.00"
, C03104,กฟอ.สว่างอารมณ์,"6,133.00","1,442.00",317,12,2,,2,4,89,,,,,,,,"8,001.00",79,32,1,,1,,,,113,"8,114.00"
, C03105,กฟอ.หนองขาหย่าง,"2,998.00","1,269.00",262,10,,,,2,55,,,,,,,,"4,596.00",54,13,4,,6,,,,77,"4,673.00"
, C03201,กฟอ.หนองฉาง,"8,589.00","3,790.00",757,24,2,3,1,,128,,,,,,,,"13,294.00",184,37,5,,9,,,,235,"13,529.00"
, C03202,กฟอ.ห้วยคต,"4,618.00","1,267.00",263,5,,,1,2,80,,,,,,,,"6,236.00",60,14,1,,1,,,,76,"6,312.00"
, C03203,กฟต.เมืองการุ้ง,"5,658.00","1,321.00",325,11,,,1,1,64,,,,,,,,"7,381.00",67,30,1,,,,,,98,"7,479.00"
, C03204,กฟอ.บ้านไร่,"7,959.00","2,147.00",596,17,4,6,,4,104,,,,,,,,"10,837.00",79,54,1,,1,,,,135,"10,972.00"
, C03205,กฟอ.ลานสัก,"12,066.00","2,954.00",600,17,1,1,,9,256,,,,,,,,"15,904.00",190,33,1,,4,,,,228,"16,132.00"
, C04101,กฟจ.ชัยนาท,"15,825.00","10,172.00","2,970.00",127,7,14,,4,646,,,,,,,,"29,765.00",485,72,5,1,34,,,,597,"30,362.00"
, C04102,กฟอ.สรรพยา,"5,224.00","1,708.00",507,13,3,,,,115,,,,,,,,"7,570.00",111,9,1,,25,,,,146,"7,716.00"
, C04201,กฟอ.มโนรมย์,"7,249.00","3,500.00",677,45,9,,,10,106,,,,,,,,"11,596.00",127,25,9,,12,,,,173,"11,769.00"
, C04301,กฟอ.หันคา,"10,597.00","3,965.00","1,464.00",61,6,1,,1,197,,,,,,,,"16,292.00",388,21,6,,11,,,,426,"16,718.00"
, C04304,กฟก.เนินขาม,"4,547.00",879,391,12,,,,,32,,,,,,,,"5,861.00",70,9,2,,5,,,,86,"5,947.00"
, C04501,กฟอ.สรรคบุรี,"12,792.00","4,142.00","1,595.00",34,3,,,4,138,,,,,,,,"18,708.00",312,23,3,,32,,,,370,"19,078.00"
, C04601,กฟอ.วัดสิงห์,"5,263.00","2,169.00",915,24,,1,1,5,142,1,,,,,,,"8,521.00",149,15,5,,11,,,,180,"8,701.00"
, C04602,กฟอ.หนองมะโมง,"4,116.00",875,458,10,,,1,,74,,,,,,,,"5,534.00",80,1,1,1,1,,,,84,"5,618.00"
, C05101,กฟจ.สิงห์บุรี,"8,739.00","8,247.00","2,397.00",110,7,11,,1,334,,,,,,,,"19,846.00",248,62,12,,98,,,,420,"20,266.00"
, C05102,กฟอ.บางระจัน,"5,322.00","2,708.00","1,020.00",29,8,,,1,145,,,,,,,,"9,233.00",174,18,1,,20,,,,213,"9,446.00"
, C05201,กฟอ.อินทร์บุรี,"9,271.00","5,105.00","1,277.00",86,7,,,2,150,,,,,,,,"15,898.00",242,37,6,2,40,,1,,328,"16,226.00"
, C05301,กฟอ.ค่ายบางระจัน,"10,282.00","4,442.00",987,32,10,1,,3,275,,,,,,,,"16,032.00",245,23,7,2,38,,,,315,"16,347.00"
, C05302,กฟอ.ท่าช้าง,"3,288.00","1,454.00",329,10,1,,,2,95,,,,,,,,"5,179.00",87,6,1,1,23,,,,118,"5,297.00"
, C05401,กฟอ.พรหมบุรี,"3,669.00","2,087.00",650,33,18,,,,120,,,,,,,,"6,577.00",113,14,7,,25,,,,159,"6,736.00"
, C06101,กฟจ.เพชรบูรณ์,"38,437.00","17,069.00","4,462.00",192,4,13,1,,599,,,,,,,,"60,777.00",483,95,7,,71,,,,656,"61,433.00"
, C06102,กฟต.วังชมภู,"7,613.00","1,969.00","1,306.00",31,3,,,,123,,,,,,,,"11,045.00",130,29,1,,11,,,,171,"11,216.00"
, C06103,กฟอ.เขาค้อ,"2,699.00",708,444,9,,1,,,180,,,,,,,,"4,041.00",15,11,2,,32,,,,60,"4,101.00"
, C06201,กฟอ.ชนแดน,"15,232.00","3,675.00","1,831.00",42,,,,,143,,,,,,,,"20,923.00",158,21,2,,9,,,,190,"21,113.00"
, C06202,กฟอ.วังโป่ง,"5,510.00","1,106.00",720,12,,,,,42,,,,,,,,"7,390.00",85,13,1,,2,,,,101,"7,491.00"
, C07101,กฟอ.หนองไผ่,"21,329.00","5,359.00","2,335.00",63,2,2,,2,182,,,,,,,,"29,274.00",357,48,5,,17,,,,427,"29,701.00"
, C07201,กฟอ.วิเชียรบุรี,"15,830.00","3,887.00","1,296.00",49,2,3,16,4,192,,,,,,,,"21,279.00",194,23,3,,13,,,,233,"21,512.00"
, C07203,กฟต.พุเตย,"8,660.00","2,357.00",922,15,1,1,,3,111,,,,,,,,"12,070.00",176,13,5,,2,,,,196,"12,266.00"
, C07301,กฟอ.บึงสามพัน,"16,331.00","4,781.00","2,008.00",63,5,4,1,1,235,,,,,,,,"23,429.00",187,31,4,,10,,,,232,"23,661.00"
, C07401,กฟอ.ศรีเทพ,"13,601.00","3,414.00",938,33,4,2,,11,209,,,,,,,,"18,212.00",253,28,3,,3,,,,287,"18,499.00"
